address|text|type|size
0048ec72||string|1
0048ec73||string|1
0048ec74|PLTE|string|5
0048ec79||string|1
0048ec7a||string|1
0048ec7b||string|1
0048ec7c|gAMA|string|5
0048ec81||string|1
0048ec82||string|1
0048ec83||string|1
0048ec84|sRGB|string|5
0048ec89||string|1
0048ec8a||string|1
0048ec8b||string|1
0048ec8c|tRNS|string|5
0048ec91||string|1
0048ec92||string|1
0048ec93||string|1
0048ec94|zlib version error|string|19
0048eca8|zlib memory error|string|18
0048ecbc|Unknown zlib error|string|19
0048ecd0|1.1.3|string|6
0048ecd8|Incompatible libpng version in application and library|string|55
0048ed10|Missing PLTE before IDAT|string|25
0048ed2c|Missing IHDR before IDAT|string|25
0048ed48|PNG file corrupted by ASCII conversion|string|39
0048ed70|Not a PNG file|string|15
0048ed80|Extra compressed data|string|22
0048ed98|Decompression error|string|20
0048edac|Not enough image data|string|22
0048edc4|Invalid attempt to read row data|string|33
0048ede8|Width too large for libpng to process image data.|string|50
0048ee3e|p?png_do_dither returned rowbytes=0|string|38
0048ee64|NULL row buffer|string|16
0048ee74|Width too large to process image data; rowbytes will overflow.|string|63
0048eebf|?Call to NULL read function|string|29
0048eedc|same structure.  Resetting write_data_fn to NULL.|string|50
0048ef10|It\'s an error to set both read_data_fn and write_data_fn in the |string|65
0048f1b0|need dictionary|string|16
0048f1c0|incorrect data check|string|21
0048f1d8|incorrect header check|string|23
0048f1f0|invalid window size|string|20
0048f204|unknown compression method|string|27
0048f220|Out of Memory|string|14
0048f2a8|invalid chunk type|string|19
0048f2bc|Ignoring bad adaptive filter type|string|34
0048f2e0|CRC error|string|10
0048f2ec|Unknown filter method in IHDR|string|30
0048f30c|Unknown compression method in IHDR|string|35
0048f330|Unknown interlace method in IHDR|string|33
0048f354|Invalid color type/bit depth combination in IHDR|string|49
0048f388|Invalid color type in IHDR|string|27
0048f3a4|Invalid bit depth in IHDR|string|26
0048f3c0|Invalid image size in IHDR|string|27
0048f3dc|Invalid IHDR chunk|string|19
0048f3f0|Out of place IHDR|string|18
0048f404|Truncating incorrect tRNS chunk length|string|39
0048f42c|Invalid palette chunk|string|22
0048f444|Duplicate PLTE chunk|string|21
0048f45c|Invalid PLTE after IDAT|string|24
0048f474|Missing IHDR before PLTE|string|25
0048f490|Incorrect IEND chunk length|string|28
0048f4ac|No image in file|string|17
0048f4c0|Ignoring incorrect gAMA value when sRGB is also present|string|56
0048f507|@Duplicate gAMA chunk|string|25
0048f520|Out of place gAMA chunk|string|24
0048f538|Invalid gAMA after IDAT|string|24
0048f550|Incorrect gAMA chunk length|string|28
0048f56c|Missing IHDR before gAMA|string|25
0048f588|Unknown sRGB intent|string|20
0048f59c|Duplicate sRGB chunk|string|21
0048f5b4|Out of place sRGB chunk|string|24
0048f5cc|Invalid sRGB after IDAT|string|24
0048f5e4|Incorrect sRGB chunk length|string|28
0048f600|Missing IHDR before sRGB|string|25
0048f61c|tRNS chunk not allowed with alpha channel|string|42
0048f648|Incorrect tRNS chunk length|string|28
0048f664|Duplicate tRNS chunk|string|21
0048f67c|Invalid tRNS after IDAT|string|24
0048f694|Zero length tRNS chunk|string|23
0048f6ac|Missing PLTE before tRNS|string|25
